date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:03	101232/101232	---MC-	200	added ('OK')	text/html	date:Fri,%2021%20Apr%202023%2008:56:03%20GMT	https://www.seeyon.com/Home/Zhuanq/xiangmu2021.html	C:/Users/Hp-/Desktop/oa_gw/oa/www.seeyon.com/Home/Zhuanq/xiangmu2021.html	(from )
16:56:03	86/86	---M--	200	added ('OK')	text/plain	etag:%22604086c9-56%22	https://www.seeyon.com/robots.txt		(from )
16:56:03	27466/27466	---M--	200	added ('OK')	text/css	etag:%2260dd7578-6b4a%22	https://www.seeyon.com/Public/Home/index2/css/font-awesome.min.css	C:/Users/Hp-/Desktop/oa_gw/oa/www.seeyon.com/Public/Home/index2/css/font-awesome.min.css	(from https://www.seeyon.com/Home/Zhuanq/xiangmu2021.html)
16:56:03	88990/88990	---M--	200	added ('OK')	text/css	etag:%226387ccc6-15b9e%22	https://www.seeyon.com/Public/Home/index2/css/common.css	C:/Users/Hp-/Desktop/oa_gw/oa/www.seeyon.com/Public/Home/index2/css/common.css	(from https://www.seeyon.com/Home/Zhuanq/xiangmu2021.html)
16:56:06	50437/50437	---M--	200	added ('OK')	text/css	etag:%22642634ea-c505%22	https://www.seeyon.com/Public/Home/index2/css/style.css	C:/Users/Hp-/Desktop/oa_gw/oa/www.seeyon.com/Public/Home/index2/css/style.css	(from https://www.seeyon.com/Home/Zhuanq/xiangmu2021.html)
16:56:12	332838/332838	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2004%20Mar%202019%2001:30:00%20GMT	http://aeu.alicdn.com/waf/24f43793cd8f02628cc633deb22b6c6d.js?t=1682067363	C:/Users/Hp-/Desktop/oa_gw/oa/aeu.alicdn.com/waf/24f43793cd8f02628cc633deb22b6c6da04d.js	(from https://www.seeyon.com/Home/Zhuanq/xiangmu2021.html)
16:56:12	95962/95962	---M--	200	added ('OK')	application/x-javascript	etag:%2260dd7576-176da%22	https://www.seeyon.com/Public/Home/index2/js/jquery-1.11.3.min.js	C:/Users/Hp-/Desktop/oa_gw/oa/www.seeyon.com/Public/Home/index2/js/jquery-1.11.3.min.js	(from https://www.seeyon.com/Home/Zhuanq/xiangmu2021.html)
16:56:12	14940/14940	---M--	200	added ('OK')	application/x-javascript	etag:%2257121f49-3a5c%22	https://www.seeyon.com/Public/layer/layer.js	C:/Users/Hp-/Desktop/oa_gw/oa/www.seeyon.com/Public/layer/layer.js	(from https://www.seeyon.com/Home/Zhuanq/xiangmu2021.html)
16:56:12	31473/31473	---M-Z	200	added ('OK')	application/javascript	etag:c133931f529f917ca56a8208747dc946	https://hm.baidu.com/hm.js?49c0fa7f96aa0a5fb95c62909d5190a6	C:/Users/Hp-/Desktop/oa_gw/oa/hm.baidu.com/hm1280.js	(from https://www.seeyon.com/Home/Zhuanq/xiangmu2021.html)
16:56:13	3571/3571	---M--	200	added ('OK')	image/png	etag:%22610210a6-df3%22	https://www.seeyon.com/Public/Home/index/images/logo.png	C:/Users/Hp-/Desktop/oa_gw/oa/www.seeyon.com/Public/Home/index/images/logo.png	(from https://www.seeyon.com/Home/Zhuanq/xiangmu2021.html)
16:56:13	4112/4112	---M--	200	added ('OK')	image/png	etag:%22610210a6-1010%22	https://www.seeyon.com/Public/Home/index/images/logo2.png	C:/Users/Hp-/Desktop/oa_gw/oa/www.seeyon.com/Public/Home/index/images/logo2.png	(from https://www.seeyon.com/Home/Zhuanq/xiangmu2021.html)
